PhotoName,HStage,Type,NType
PGC0008014,6,S,1
PGC0047441,-5,E,0
PGC0052788,-5,E,0
PGC0038951,10,I,2
PGC0007574,6,S,1
PGC0001523,6,S,1
PGC0025232,10,I,2
PGC0001932,4,S,1
PGC0003584,2,S,1
PGC0042305,-6,E,0
PGC0027111,-5,E,0
PGC0033090,-5,E,0
PGC0000647,9,S,1
PGC0049370,-5,E,0
PGC0052179,-5,E,0
PGC0007328,3,S,1
PGC0005688,1,S,1
PGC0038881,10,I,2
PGC0037642,-5,E,0
PGC0041902,10,I,2
PGC0026302,-5,E,0
PGC0040002,11,I,2
PGC0051787,-5,E,0
PGC0040973,10,I,2
PGC0007118,-3,S,1
PGC0041220,-5,E,0
PGC0025280,-5,E,0
PGC0041333,10,I,2
PGC0049227,-4,E,0
PGC0003830,-4,E,0
PGC0008439,2,S,1
PGC0036444,-5,E,0
PGC0007806,6,S,1
PGC0023834,-6,E,0
PGC0006292,9,S,1
PGC0047540,-5,E,0
PGC0028463,10,I,2
PGC0035450,10,I,2
PGC0046906,-5,E,0
PGC0040653,-5,E,0
PGC0031427,10,I,2
PGC0005449,-1,S,1
PGC0022800,-5,E,0
PGC0006004,-4,E,0
PGC0001936,8,S,1
PGC0040761,10,I,2
PGC0047564,-5,E,0
PGC0040791,10,I,2
PGC0041171,-5,E,0
PGC0029595,10,I,2
PGC0001058,6,S,1
PGC0025284,10,I,2
PGC0041494,11,I,2
PGC0002482,1,S,1
PGC0034303,-5,E,0
PGC0039023,10,I,2
PGC0038890,-5,E,0
PGC0033386,-4,E,0
PGC0006835,-2,S,1
PGC0041546,11,I,2
PGC0042079,10,I,2
PGC0003140,3,S,1
PGC0008295,9,S,1
PGC0008165,3,S,1
PGC0041634,-5,E,0
PGC0006628,9,S,1
PGC0035126,-5,E,0
PGC0041297,-5,E,0
PGC0040171,11,I,2
PGC0006671,2,S,1
PGC0047654,-5,E,0
PGC0037927,10,I,2
PGC0003496,8,S,1
PGC0040861,10,I,2
PGC0010213,10,I,2
PGC0004812,4,S,1
PGC0005055,-3,S,1
PGC0026485,10,I,2
PGC0002805,9,S,1
PGC0022322,-5,E,0
PGC0040209,11,I,2
PGC0049141,-5,E,0
PGC0052192,-5,E,0
PGC0006861,-3,S,1
PGC0041968,-5,E,0
PGC0050215,-5,E,0
PGC0033312,-5,E,0
PGC0006155,-2,S,1
PGC0041586,11,I,2
PGC0041327,-6,E,0
PGC0006982,3,S,1
PGC0008182,8,S,1
PGC0001221,6,S,1
PGC0005673,6,S,1
PGC0038794,-4,E,0
PGC0008406,8,S,1
PGC0005792,7,S,1
PGC0007889,-2,S,1
PGC0005540,-2,S,1
PGC0039058,10,I,2
PGC0033905,10,I,2
PGC0006826,3,S,1
PGC0000548,8,S,1
PGC0004647,10,I,2
PGC0028305,10,I,2
PGC0004793,-2,S,1
PGC0029043,10,I,2
PGC0033150,-5,E,0
PGC0032244,-5,E,0
PGC0039785,10,I,2
PGC0003355,-3,S,1
PGC0004608,8,S,1
PGC0000281,7,S,1
PGC0042628,-5,E,0
PGC0035925,-5,E,0
PGC0040122,-6,E,0
PGC0006193,6,S,1
PGC0028757,10,I,2
PGC0005838,1,S,1
PGC0006888,1,S,1
PGC0007856,1,S,1
PGC0036008,10,I,2
PGC0034704,10,I,2
PGC0031032,10,I,2
PGC0022260,-5,E,0
PGC0026733,-5,E,0
PGC0000670,4,S,1
PGC0039965,11,I,2
PGC0027935,10,I,2
PGC0052173,-5,E,0
PGC0004368,-2,S,1
PGC0004116,2,S,1
PGC0005056,6,S,1
PGC0041054,11,I,2
PGC0030042,10,I,2
PGC0038018,-5,E,0
PGC0003377,5,S,1
PGC0008464,0,S,1
PGC0021659,-5,E,0
PGC0002016,8,S,1
PGC0047822,-4,E,0
PGC0048468,-5,E,0
PGC0048688,-5,E,0
PGC0042963,-5,E,0
PGC0040068,11,I,2
PGC0051834,-5,E,0
PGC0005078,1,S,1
PGC0035878,10,I,2
PGC0051312,-5,E,0
PGC0037105,-5,E,0
PGC0004906,2,S,1
PGC0000639,1,S,1
PGC0041646,-6,E,0
PGC0041606,11,I,2
PGC0037757,-5,E,0
PGC0038684,11,I,2
PGC0034021,-5,E,0
PGC0002391,3,S,1
PGC0006657,-1,S,1
PGC0025185,10,I,2
PGC0011007,-5,E,0
PGC0002182,5,S,1
PGC0021073,10,I,2
PGC0035813,10,I,2
PGC0008399,-1,S,1
PGC0008302,10,I,2
PGC0002388,5,S,1
PGC0005939,2,S,1
PGC0040375,-5,E,0
PGC0004979,7,S,1
PGC0021014,-5,E,0
PGC0050690,-5,E,0
PGC0038572,10,I,2
PGC0037722,10,I,2
PGC0037407,10,I,2
PGC0039503,11,I,2
PGC0005539,1,S,1
PGC0029024,-5,E,0
PGC0025402,-6,E,0
PGC0051354,-5,E,0
PGC0033339,-5,E,0
PGC0004899,-2,S,1
PGC0042275,10,I,2
PGC0051705,-5,E,0
PGC0027091,10,I,2
PGC0029807,-4,E,0
PGC0049869,-4,E,0
PGC0039191,10,I,2
PGC0045196,-5,E,0
PGC0031457,-5,E,0
PGC0038822,10,I,2
PGC0028378,10,I,2
PGC0000963,6,S,1
PGC0003569,6,S,1
PGC0026854,-4,E,0
PGC0040309,-5,E,0
PGC0037655,-5,E,0
PGC0000212,1,S,1
PGC0041376,11,I,2
PGC0037202,10,I,2
PGC0029488,11,I,2
PGC0039918,10,I,2
PGC0032471,11,I,2
PGC0006832,3,S,1
PGC0003960,4,S,1
PGC0000635,2,S,1
PGC0003904,8,S,1
PGC0041758,10,I,2
PGC0029249,-5,E,0
PGC0041272,11,I,2
PGC0036966,-5,E,0
PGC0006667,7,S,1
PGC0010175,-5,E,0
PGC0049049,-4,E,0
PGC0040169,-5,E,0
PGC0027423,-5,E,0
PGC0041361,-5,E,0
PGC0024374,10,I,2
PGC0035227,10,I,2
PGC0039683,-5,E,0
PGC0041828,11,I,2
PGC0039708,11,I,2
PGC0041700,10,I,2
PGC0039864,10,I,2
PGC0032987,-5,E,0
PGC0004367,7,S,1
PGC0034004,-5,E,0
PGC0028796,-5,E,0
PGC0040985,11,I,2
PGC0028897,-5,E,0
PGC0051272,-5,E,0
PGC0004663,8,S,1
PGC0041239,10,I,2
PGC0010132,11,I,2
PGC0040455,-5,E,0
PGC0031693,10,I,2
PGC0035793,-5,E,0
PGC0007965,-1,S,1
PGC0026351,10,I,2
PGC0006309,9,S,1
PGC0005574,-2,S,1
PGC0036750,11,I,2
PGC0039092,-5,E,0
PGC0051382,-5,E,0
PGC0002501,-4,E,0
PGC0040128,10,I,2
PGC0045236,-5,E,0
PGC0021585,10,I,2
PGC0003976,-5,E,0
PGC0038793,10,I,2
PGC0028270,-5,E,0
PGC0034783,-5,E,0
PGC0000451,8,S,1
PGC0029229,10,I,2
PGC0007654,10,I,2
PGC0004485,8,S,1
PGC0050192,-5,E,0
PGC0002527,0,S,1
PGC0041036,10,I,2
PGC0051417,-5,E,0
PGC0000282,6,S,1
PGC0031768,-5,E,0
PGC0005271,-2,S,1
PGC0023769,10,I,2
PGC0034530,10,I,2
PGC0049044,-5,E,0
PGC0043202,-5,E,0
PGC0008502,2,S,1
PGC0001841,3,S,1
PGC0024728,-5,E,0
PGC0032423,-5,E,0
PGC0001805,4,S,1
PGC0008258,-2,S,1
PGC0002357,-3,S,1
PGC0052752,-5,E,0
PGC0007740,4,S,1
PGC0051084,-5,E,0
PGC0038905,10,I,2
PGC0003566,7,S,1
PGC0022397,-5,E,0
PGC0039397,11,I,2
PGC0036594,10,I,2
PGC0008201,-3,S,1
PGC0040563,10,I,2
PGC0031689,-5,E,0
PGC0037889,10,I,2
PGC0006673,-5,E,0
PGC0041660,10,I,2
PGC0002440,6,S,1
PGC0007465,5,S,1
PGC0001747,3,S,1
PGC0002288,1,S,1
PGC0027875,10,I,2
PGC0036344,10,I,2
PGC0003451,-4,E,0
PGC0022501,-5,E,0
PGC0007046,8,S,1
PGC0003563,1,S,1
PGC0005270,4,S,1
PGC0002889,5,S,1
PGC0024865,10,I,2
PGC0006318,3,S,1
PGC0000825,8,S,1
PGC0036177,-4,E,0
PGC0008412,8,S,1
PGC0039380,10,I,2
PGC0042080,10,I,2
PGC0028913,10,I,2
PGC0005830,3,S,1
PGC0041048,10,I,2
PGC0052743,-5,E,0
PGC0035684,10,I,2
PGC0037893,10,I,2
PGC0033680,-5,E,0
PGC0034807,-5,E,0
PGC0008250,-1,S,1
PGC0039256,11,I,2
PGC0006504,10,I,2
PGC0008060,8,S,1
PGC0002600,4,S,1
PGC0006670,0,S,1
PGC0001293,7,S,1
PGC0007966,6,S,1
PGC0002331,1,S,1
PGC0040903,11,I,2
PGC0043157,-5,E,0
PGC0032870,10,I,2
PGC0035080,10,I,2
PGC0032405,10,I,2
PGC0038921,-6,E,0
PGC0040329,10,I,2
PGC0007042,8,S,1
PGC0041207,10,I,2
PGC0006678,6,S,1
PGC0034780,-5,E,0
PGC0001781,10,I,2
PGC0032048,10,I,2
PGC0007632,1,S,1
PGC0037916,-6,E,0
PGC0045880,-5,E,0
PGC0037449,10,I,2
PGC0003833,-2,S,1
PGC0007262,7,S,1
PGC0007741,2,S,1
PGC0036419,10,I,2
PGC0037104,-4,E,0
PGC0051275,-5,E,0
PGC0025858,11,I,2
PGC0009406,10,I,2
PGC0034075,-5,E,0
PGC0026323,-5,E,0
PGC0041737,10,I,2
PGC0032343,10,I,2
PGC0007114,3,S,1
PGC0005366,10,I,2
PGC0006986,5,S,1
PGC0007246,6,S,1
PGC0005776,8,S,1
PGC0002365,8,S,1
PGC0004124,2,S,1
PGC0041614,11,I,2
PGC0040652,-4,E,0
PGC0041326,10,I,2
PGC0004992,4,S,1
PGC0042734,-5,E,0
PGC0038603,-5,E,0
PGC0037217,10,I,2
PGC0004500,-4,E,0
PGC0049289,-5,E,0
PGC0003620,3,S,1
PGC0006636,7,S,1
PGC0007210,4,S,1
PGC0041552,11,I,2
PGC0030832,10,I,2
PGC0032032,-5,E,0
